1,Dimons,Rock
2,Expansion,Rock
3,Decada 50,Rock
4,Posdata,Rock 
5,Crisis,Heavy rock
6,Deficit,Rock
7,Vox Rock,Rock 
8,Era Medieval,Rock
9,Engendro,Heavy rock
10,Trama,Rock Acustico
11,Distorsion,Heavy rock
12,Deimos,Rock Progresivo
13,Ruben Fernandez,Rock
14,Acuarela,Rock
15,Huanaco Rock,Rock
16,Dossier,Rock Progresivo
17,Infrarrojo,Rock
18,Triss,"Folclore jamaiquino, ska y rock psicodelico"
19,Frecuencia 666,Rock
20,Los mucamos cama adentro,Rock
21,Estrato Volcan,Rock
22,Privados,Rock
23,Interfasse,Rock
24,Analgesico,Rock
25,Autoadhesivo,Pop-Rock
26,7 Regimiento,Pop-Rock
27,BM 51,Rock
28,La Guardia Civil,Rock
30,Clips,Rock Pesado
32,Via Taxi,rock-reggae
34,Cenit,Covers rock nacional  temas propios
36,Triptome,Rock-trash metal
37,Ray Grass,pop-Rock
38,7 Regimiento,Rock
39,Deflagracion ,Rock
41,San Galo,Rock
45,El Error,Rock
46,Lo Pario,Rock
47,Cerebros Atomicos,Rock
48,El Ramah,Rock alternativo
49,La Sombra,Covers de rock
50,Problema de Ojo,Rock
51,Cuajo,Rock
52,La Mahara,Rock
53,D.G.I. (Diarrea Gastro Intestinal),Hardcore
54,Juanita La Meona,
55,Ninos,Punk-Alternativo
56,Cabeza Dura,Punk
57,L.D.H.A.,Grunge
58,Vacio,Punk
59,El Abismo,Rock and Blues
60,Doom Retro Down,Rock Alternativo
62,Acropolis,Punk
63,Cruxados,Pop y Rock
64,Evil,Metal
65,Horus,Metal
66,La Gargola,Heavy Metal
67,Mente Oculta,
68,Jaimes,
69,SimioNimio,Rock Alternativo
70,Sol Latino,Salsa Rock
71,Genechen,Heavy
72,La Sinuosa ,Rock 
73,Biopsia ,
74,Nights Rockets,Rock
75,Sion,Heavy Metal
76,Horus,Heavy Metal
77,Tormentor,Heavy Metal
78,Dogo,Heavy Metal
79,La Cervecera Blues Band,Blues
80,La Cervecera,
81,Capitan Scarlatta,Covers de Redondos
82,Lobregos,Hardcore-Metal
83,Play,"Funk, hardcore y pop-rock en ingl�s."
84,"Sorcery,",�banda de rock espacial�
85,La Crocketa,Rock y Blues
86,Jerry y La Corrosiva,Covers de rock y blues
87,Sion ,Metal 
88,Night Rockets,Rock
89,Sorcery,Rock
90,Domino,Rock
91,Causa de Accion,Rock
92,Cristo,Rock
93,Big Babousa,Funk y  rock
94,Expresion de Raza,Rock
95,Capitan Scarlatta,Rock
96,Los Sones de Don Juan,Rock y salsa
97,Antigua Dama,Covers de rock 60�y 70�
98,Los Normales,Covers rock nacional
99,Todo,Electro-rock
100,Las Perras del Demonio (Zapada Furiosa),Covers rock internacional
101,La Kavrona,Rock genital
102,Naturae,Reggae y ska
103,Vaderetro,Heavy-rock-pop
104,La Phoenix,Rock
105,Infierno Interior,Heavy Metal
106,Quepachamama,Ska-reggae-punk
107,Palangana,Ska
108,Clemente Bizarro,"Funk, hip hop, rock"
109,Barrio Latino,Rock
110,Soul Family (Familiar),Rock
111,Film,Alternativo
112,Laudanos ,Rock
113,Sr Ingles,Rock-pop � covers rock internaional
114,Tab,Rock-pop
115,Exiliados de la Sociedad,Punk
116,Mr. Blues,Blues
117,UHLE - Unidos Hasta la Eternidad,Rock-pop
118,Domino,Rock
119,Soul Family (Familiar),Rock
120,Film,Alternativo
121,Limite 33,Rock
122,,Rock
123,Angeles Falsos,Reggae y ska
124,Mentores Incautos,Rock
125,Laudanos,Rock
126,Avida Dollars,Rock
127,Duenos de Nada,Rock
128,Dropstar,Rock
